,id_pais,kpi1
0,ATG,10.00200000000001
1,ARG,6.355199999999854
2,BRB,9.37319999999994
3,BLZ,7.4471999999999525
4,BOL,8.133599999999888
5,BRA,12.385199999999998
6,CAN,6.099599999999896
7,CHL,10.244400000000041
8,COL,8.515200000000107
9,CRI,7.837199999999939
10,CUB,-2.905200000000093
11,DMA,49.49520000000001
12,DOM,8.522400000000005
13,ECU,8.099999999999966
14,SLV,9.746400000000051
15,GRD,-1.461599999999919
16,GTM,13.981199999999944
17,GUY,14.905200000000093
18,HTI,15.20519999999999
19,HND,7.46040000000005
20,JAM,-14.580000000000041
21,ATG,10.00200000000001
22,ARG,6.355199999999854
23,BRB,9.37319999999994
24,BLZ,7.4471999999999525
25,BOL,8.133599999999888
26,BRA,12.385199999999998
27,CAN,6.099599999999896
28,CHL,10.244400000000041
29,COL,8.515200000000107
30,CRI,7.837199999999939
31,CUB,-2.905200000000093
32,DMA,49.49520000000001
33,DOM,8.522400000000005
34,ECU,8.099999999999966
35,SLV,9.746400000000051
36,GRD,-1.461599999999919
37,GTM,13.981199999999944
38,GUY,14.905200000000093
39,HTI,15.20519999999999
40,HND,7.46040000000005
41,JAM,-14.580000000000041
42,MEX,-7.143599999999935
43,NIC,14.906399999999962
44,PAN,6.75
45,PRY,8.91599999999994
46,PER,9.870000000000061
47,KNA,7.269600000000025
48,LCA,6.973200000000077
49,VCT,-19.65960000000001
50,SUR,29.518800000000056
51,BHS,-25.929599999999937
52,TTO,0.15240000000011378
53,USA,1.4460000000000832
54,URY,1.7064000000000306
55,VEN,-8.302800000000047
